,gvkey,adate,qdate,public_date,PE,DPR,ROE,PTB,PEG,DIVY,TICKER,Year,Completeness_Score,,,,,,,
38441,126554,10/31/2023,10/31/2023,12/31/2023,33.181,0.214,0.221,6.924,1.282,0.68%,A,2023,12,,,,,,,
17070,27638,12/31/2022,9/30/2023,12/31/2023,-6.746,0,-0.178,1.346,-0.067,1.18%,AA,2023,11,,,,,,,
31510,39527,12/31/2022,9/30/2023,11/30/2023,-2.229,0,-0.419,1.091,0.153,0,AADI,2023,9,,,,,,,
18,1045,12/31/2022,3/31/2023,7/31/2023,6.621,0.05,0.026,1.713,0.042,0,AAL,2023,9,,,,,,,
9578,16720,12/31/2022,6/30/2023,10/31/2023,-0.43,0,0.026,1.713,-0.002,0,AAMC,2023,8,,,,,,,
9519,16671,12/31/2022,9/30/2023,11/30/2023,13.929,0.446,0.03,0.403,0.05,1.03%,AAME,2023,12,,,,,,,
26656,37445,12/31/2022,9/30/2023,11/30/2023,29.367,-3.908,0.012,0.341,0.154,5.68%,AAN,2023,11,,,,,,,
10877,18564,12/31/2021,9/30/2022,1/31/2023,-1.081,0,-0.248,0.35,-0.056,0,AAOI,2023,10,,,,,,,
13034,21542,12/31/2022,9/30/2023,11/30/2023,30.637,0.193,0.278,7.295,1.918,0.51%,AAON,2023,12,,,,,,,
39605,145977,12/31/2022,6/30/2023,10/31/2023,8.614,0.747,0.116,0.98,4.72,1.92%,AAP,2023,12,,,,,,,
467,1690,9/30/2023,9/30/2023,12/31/2023,31.408,0.155,1.719,48.183,1.174,0.50%,AAPL,2023,12,,,,,,,
19969,31775,12/31/2021,9/30/2022,1/31/2023,41.375,4.832,0.027,1.201,0.572,11.60%,AATC,2023,12,,,,,,,
34225,61155,12/31/2022,12/31/2022,2/28/2023,9.574,0,0.107,0.818,0.153,0,AAWW,2023,10,,,,,,,
16313,26366,6/30/2023,9/30/2023,11/30/2023,-7.131,0,-0.502,3.474,0.153,0,ABAT,2023,9,,,,,,,
9340,16101,12/31/2022,9/30/2023,12/31/2023,42.574,1.61,0.384,19.352,7.329,3.82%,ABBV,2023,12,,,,,,,
19906,31673,9/30/2022,6/30/2023,10/31/2023,22.579,0.235,0.875,15.48,0.153,1.05%,ABC,2023,11,,,,,,,
18970,30222,12/31/2022,9/30/2023,12/31/2023,12.876,0.146,0.089,1.094,0.937,1.13%,ABCB,2023,12,,,,,,,
8012,12713,12/31/2022,9/30/2023,11/30/2023,-1.983,0,-2.546,5.396,-0.002,0,ABEO,2023,10,,,,,,,
39487,144640,12/31/2022,9/30/2023,12/31/2023,5.374,0,0.301,1.381,0.085,0,ABG,2023,11,,,,,,,
44538,182309,12/31/2022,9/30/2023,12/31/2023,-4.595,0,-0.132,0.645,0.153,0,ABIO,2023,9,,,,,,,
25401,36775,12/31/2022,9/30/2023,11/30/2023,36.316,1.784,0.16,2.479,0.153,0,ABL,2023,10,,,,,,,
251,1410,10/31/2023,10/31/2023,12/31/2023,11.828,0.229,0.136,1.495,0.25,1.96%,ABM,2023,12,,,,,,,
26704,37460,12/31/2022,9/30/2023,11/30/2023,15.37,0,1.018,6.021,0.153,0,ABNB,2023,10,,,,,,,
29868,38986,12/31/2022,9/30/2023,11/30/2023,-2.162,0,-0.266,0.496,0.153,0,ABOS,2023,9,,,,,,,
30384,39175,12/31/2022,9/30/2023,11/30/2023,-1.44,0,-0.41,0.789,0.153,0,ABSI,2023,9,,,,,,,
71,1078,12/31/2022,9/30/2023,12/31/2023,37.439,0.679,0.14,5.098,1.239,1.85%,ABT,2023,12,,,,,,,
32248,39801,12/31/2022,9/30/2023,11/30/2023,-0.352,0,-3.443,1.001,0.153,0,ABVC,2023,9,,,,,,,
16337,26413,12/31/2022,9/30/2023,11/30/2023,21.145,-1.292,0.039,0.136,0.153,0.60%,AC,2023,11,,,,,,,
46706,328795,12/31/2022,9/30/2023,11/30/2023,12.619,0.034,0.121,1.442,0.201,0.27%,ACA,2023,12,,,,,,,
39238,141846,12/31/2022,9/30/2023,11/30/2023,-24.484,0,-0.373,10.1,0.153,0,ACAD,2023,9,,,,,,,
24587,36263,2/28/2023,8/31/2023,12/31/2023,-6.191,0,-0.295,2.092,-0.092,0,ACCD,2023,10,,,,,,,
41751,164506,12/31/2022,9/30/2023,11/30/2023,9.119,-1.678,0.059,0.525,0.276,5.58%,ACCO,2023,12,,,,,,,
32905,40306,12/31/2022,9/30/2023,11/30/2023,11.514,0,0.048,0.966,0.153,0,ACDC,2023,10,,,,,,,
